sku,price_family,community,role_b2b,elasticity_final,elasticity_operative,elasticity_source,price_mean,cost_mean,q_mean,q_total,revenue_total,guardrail_pct,p_min_guardrail,p_max_guardrail
BFGoodrich_Agrícola_Implementos_0021,Agrícola | Implementos,Agrícola_|_Implementos_Community_02,Competitive Fighter,-1.1963516601124633,-1.1836012557010578,blended_GAM_adjusted,638.8586356223176,176.40355193133047,135.50296137339055,31572.19,19327690.55,0.1,574.9727720600858,702.7444991845495
BFGoodrich_Camión_Obras / Mixto_0009,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_01,Premium Leader,-0.8692585657497821,-0.8692585657497821,sku_hierarchical,812.3371129554655,233.49838340080973,36.26125506072875,8956.53,7081640.41,0.15,690.4865460121457,934.1876798987853
BFGoodrich_Camión_Obras / Mixto_0010,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_02,Premium Leader,-0.8716020586695368,-0.8716020586695368,sku_hierarchical,711.281372016461,223.01397654320988,204.72312757201647,49747.72,34579314.3,0.15,604.5891662139918,817.97357781893
BFGoodrich_Camión_Obras / Mixto_0011,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_02,Competitive Fighter,-0.8183814816296097,-0.8183814816296097,sku_hierarchical,758.1666556521739,218.28199130434783,181.8107826086957,41816.48,30693339.81,0.1,682.3499900869565,833.9833212173913
BFGoodrich_Camión_Obras / Mixto_0031,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_01,Competitive Fighter,-0.8290820921200605,-0.8290820921200605,sku_hierarchical,792.580465665236,237.94760472103,162.8588841201717,37946.12,29107105.3,0.1,713.3224190987124,871.8385122317598
BFGoodrich_Camión_Obras / Mixto_0049,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_03,Competitive Fighter,-0.8189965658634867,-0.8189965658634867,sku_hierarchical,760.331250612245,206.15825020408164,101.14836734693876,24781.35,18311586.27,0.1,684.2981255510205,836.3643756734696
BFGoodrich_Camión_Regional_0032,Camión | Regional,Camión_|_Regional_Community_01,Traffic Driver,-0.9967969853753886,-0.9967969853753886,sku_hierarchical,656.5033307377049,169.30871639344264,89.9900819672131,21957.58,14048280.08,0.08,603.9830642786885,709.0235971967213
BFGoodrich_Camión_Regional_0039,Camión | Regional,Camión_|_Regional_Community_03,Premium Leader,-1.1406711802822909,-1.0930332672254517,blended_GAM_adjusted,590.1170099567099,210.84746147186144,123.42316017316016,28510.75,15939028.62,0.15,501.5994584632034,678.6345614502163
BFGoodrich_Coche_Budget_0001,Coche | Budget,Coche_|_Budget_Community_02,Premium Leader,-2.6544582509911003,-2.6067336910649934,blended_GAM_adjusted,89.53880041666666,31.317667916666668,523.4148333333334,125619.56,10067683.33,0.15,76.10798035416666,102.96962047916665
BFGoodrich_Coche_Budget_0018,Coche | Budget,Coche_|_Budget_Community_01,Traffic Driver,-2.443713301766855,-2.636385626498462,blended_GAM_adjusted,101.97916541666667,26.877705833333334,206.93729166666665,49664.95,4670983.15,0.08,93.82083218333335,110.13749865000001
BFGoodrich_Coche_Budget_0029,Coche | Budget,Coche_|_Budget_Community_03,Traffic Driver,-2.410055853258491,-2.502325794101425,blended_GAM_adjusted,105.26420769230768,31.193850607287448,80.75518218623482,19946.53,1931882.12,0.08,96.84307107692307,113.6853443076923
BFGoodrich_Coche_Budget_0045,Coche | Budget,Coche_|_Budget_Community_02,Competitive Fighter,-2.538762982707722,-2.488724517415948,blended_GAM_adjusted,100.7311869747899,29.018876470588232,146.5829831932773,34886.75,3268634.24,0.1,90.65806827731092,110.80430567226891
BFGoodrich_Coche_Eco_0027,Coche | Eco,Coche_|_Eco_Community_01,Competitive Fighter,-1.422321958120484,-1.3663461458894353,blended_GAM_adjusted,190.27055896414345,56.24103266932271,182.6535059760956,45846.03,8289347.15,0.1,171.2435030677291,209.29761486055781
BFGoodrich_Coche_Eco_0029,Coche | Eco,Coche_|_Eco_Community_02,Competitive Fighter,-1.457200086519732,-1.4314650216451057,blended_GAM_adjusted,186.87330522088357,55.37570602409639,161.39397590361446,40187.1,7156902.96,0.1,168.1859746987952,205.56063574297193
BFGoodrich_Coche_Eco_0035,Coche | Eco,Coche_|_Eco_Community_01,Premium Leader,-1.5040379071076146,-1.4496964138563089,blended_GAM_adjusted,182.1818088105727,53.5226013215859,253.10493392070484,57454.82,9900019.65,0.15,154.8545374889868,209.5090801321586
BFGoodrich_Coche_Eco_0063,Coche | Eco,Coche_|_Eco_Community_02,Traffic Driver,-1.3450002743500755,-1.317021213232057,blended_GAM_adjusted,194.5527366533865,42.43276414342629,152.61557768924305,38306.51,7114043.11,0.08,178.98851772111558,210.11695558565742
BFGoodrich_Coche_Eco_0069,Coche | Eco,Coche_|_Eco_Community_01,KVI,-1.4164242563030085,-1.36033049003561,blended_GAM_adjusted,178.04003415637862,61.87098065843622,238.38687242798355,57928.01,9834093.48,0.05,169.1380324485597,186.94203586419755
BFGoodrich_Coche_Eco_0071,Coche | Eco,Coche_|_Eco_Community_01,KVI,-1.420293918990874,-1.3642775459772332,blended_GAM_adjusted,192.9306421686747,58.61345261044177,234.45738955823293,58379.89,10719652.66,0.05,183.28411006024095,202.57717427710844
BFGoodrich_Coche_Performance_0001,Coche | Performance,Coche_|_Performance_Community_01,Traffic Driver,-0.9592290533677988,-0.9592290533677988,sku_hierarchical,349.05039392523366,104.70991355140188,111.70556074766355,23904.99,8104448.5,0.08,321.126362411215,376.9744254392524
BFGoodrich_Coche_Performance_0022,Coche | Performance,Coche_|_Performance_Community_02,Traffic Driver,-0.9772882376053074,-0.982926624237352,blended_GAM_adjusted,354.8352313492064,104.16994603174604,191.25924603174604,48197.33,16338246.65,0.08,326.44841284126994,383.22204985714296
BFGoodrich_Coche_Performance_0037,Coche | Performance,Coche_|_Performance_Community_02,Competitive Fighter,-1.0612027616955373,-1.0685194388093866,blended_GAM_adjusted,397.2906965217391,113.9988804347826,78.29234782608697,18007.24,6887083.56,0.1,357.5616268695652,437.01976617391307
BFGoodrich_Coche_Performance_0041,Coche | Performance,Coche_|_Performance_Community_01,Premium Leader,-1.1529175159068783,-1.1529175159068783,sku_hierarchical,327.8223813278008,99.60572821576764,207.4432780082988,49993.83,15675126.1,0.15,278.6490241286307,376.9957385269709
BFGoodrich_Coche_Touring_0028,Coche | Touring,Coche_|_Touring_Community_01,Premium Leader,-1.831539826280861,-1.895590637525309,blended_GAM_adjusted,150.48050205761317,52.7258037037037,212.5156790123457,51641.31,7267132.15,0.15,127.90842674897118,173.05257736625512
BFGoodrich_Coche_Touring_0065,Coche | Touring,Coche_|_Touring_Community_02,Competitive Fighter,-1.7771907278996626,-1.80946425288901,blended_GAM_adjusted,156.96351686746988,43.19008955823293,177.1009638554217,44098.14,6492378.03,0.1,141.26716518072288,172.65986855421687
BFGoodrich_Coche_Touring_0067,Coche | Touring,Coche_|_Touring_Community_01,Competitive Fighter,-1.7824643116304622,-1.8455336125819024,blended_GAM_adjusted,166.69492226720646,39.39915182186235,172.36412955465588,42573.94,6683116.61,0.1,150.02543004048582,183.36441449392711
BFGoodrich_Coche_Touring_0068,Coche | Touring,Coche_|_Touring_Community_01,KVI,-1.7302906297517568,-1.7923164570656227,blended_GAM_adjusted,164.90328606557378,45.66856967213114,212.62983606557376,51881.68,8014691.49,0.05,156.65812176229508,173.14845036885248
BFGoodrich_Coche_Touring_0079,Coche | Touring,Coche_|_Touring_Community_01,Traffic Driver,-1.6922573645932804,-1.753522526603977,blended_GAM_adjusted,168.83911891891893,46.31213745173745,133.7599227799228,34643.82,5569156.33,0.08,155.3319894054054,182.34624843243245
BFGoodrich_Furgoneta_Reforzado_0008,Furgoneta | Reforzado,Furgoneta_|_Reforzado_Community_02,Premium Leader,-1.086195112253599,-1.124047989061447,blended_GAM_adjusted,258.3404326446281,76.39340867768595,227.72314049586777,55109.0,13732674.49,0.15,219.58936774793386,297.09149754132227
BFGoodrich_Furgoneta_Reforzado_0034,Furgoneta | Reforzado,Furgoneta_|_Reforzado_Community_01,Premium Leader,-1.0987811608326548,-1.1200983868768395,blended_GAM_adjusted,222.0445935742972,61.25190843373494,127.47136546184738,31740.37,6814725.83,0.15,188.73790453815263,255.35128261044179
BFGoodrich_Furgoneta_Reforzado_0076,Furgoneta | Reforzado,Furgoneta_|_Reforzado_Community_01,Competitive Fighter,-1.058883378707561,-1.0794026491092443,blended_GAM_adjusted,231.41212139917693,78.51230781893004,123.28197530864198,29957.52,6681493.45,0.1,208.27090925925924,254.55333353909464
BFGoodrich_Furgoneta_Standard_0038,Furgoneta | Standard,Furgoneta_|_Standard_Community_02,Competitive Fighter,-1.357127479232766,-1.2966251316266957,blended_GAM_adjusted,150.0636622881356,54.317107203389824,190.62940677966105,44988.54,6464368.34,0.1,135.05729605932203,165.07002851694915
BFGoodrich_Furgoneta_Standard_0058,Furgoneta | Standard,Furgoneta_|_Standard_Community_01,KVI,-1.3427656350817625,-1.3425774378080746,blended_GAM_adjusted,190.85300560344825,58.83536293103448,235.69030172413792,54680.15,9890044.59,0.05,181.31035532327584,200.39565588362066
BFGoodrich_Industrial_Construcción Pesada_0013,Industrial | Construcción Pesada,Industrial_|_Construcción_Pesada_Community_01,Premium Leader,-0.9373542809251348,-0.9620060078062002,blended_GAM_adjusted,1716.9782749003984,674.6486896414343,29.09812749003984,7303.63,12118962.24,0.15,1459.4315336653387,1974.5250161354581
BFGoodrich_Industrial_Construcción Pesada_0020,Industrial | Construcción Pesada,Industrial_|_Construcción_Pesada_Community_01,Premium Leader,-0.912498566534152,-0.936653179127398,blended_GAM_adjusted,2109.461080334728,694.6468410041841,39.113765690376574,9348.19,19014889.26,0.15,1793.041918284519,2425.8802423849374
BFGoodrich_Industrial_Construcción Pesada_0025,Industrial | Construcción Pesada,Industrial_|_Construcción_Pesada_Community_03,Competitive Fighter,-0.8727321230964442,-0.8727321230964442,sku_hierarchical,1787.8496810699587,602.4436403292182,20.515390946502052,4985.24,8660925.84,0.1,1609.0647129629629,1966.6346491769548
BFGoodrich_Industrial_Construcción Pesada_0037,Industrial | Construcción Pesada,Industrial_|_Construcción_Pesada_Community_02,Competitive Fighter,-0.8758373363738522,-0.9352333326214932,blended_GAM_adjusted,1849.062457964602,591.3953469026549,45.50579646017699,10284.31,18356795.58,0.1,1664.1562121681418,2033.9687037610622
BFGoodrich_Industrial_Construcción Pesada_0056,Industrial | Construcción Pesada,Industrial_|_Construcción_Pesada_Community_01,Competitive Fighter,-0.8839409257905465,-0.9075243855689202,blended_GAM_adjusted,1515.0601485106383,620.5428476595745,57.28195744680851,13461.26,19648652.3,0.1,1363.5541336595745,1666.5661633617024
BFGoodrich_Industrial_Construcción Pesada_0067,Industrial | Construcción Pesada,Industrial_|_Construcción_Pesada_Community_02,Premium Leader,-0.9079756007155172,-0.9680143622499916,blended_GAM_adjusted,1719.550274590164,514.1635782786885,27.27327868852459,6654.68,10982926.09,0.15,1461.6177334016393,1977.4828157786885
BFGoodrich_Industrial_Manipulación Ligera_0000,Industrial | Manipulación Ligera,Industrial_|_Manipulación_Ligera_Community_02,Competitive Fighter,-1.2765382144779178,-1.2867869387813793,blended_GAM_adjusted,290.0893731707317,70.8854756097561,126.24109756097562,31055.31,8524495.55,0.1,261.0804358536585,319.0983104878049
BFGoodrich_Industrial_Portuario/Especial_0003,Industrial | Portuario/Especial,Industrial_|_Portuario/Especial_Community_02,Premium Leader,-0.762354506947466,-0.762354506947466,sku_hierarchical,4882.1202523255815,2864.9074445736437,1.385891472868217,357.56,1692693.41,0.15,4149.802214476744,5614.438290174418
BFGoodrich_Industrial_Portuario/Especial_0013,Industrial | Portuario/Especial,Industrial_|_Portuario/Especial_Community_02,Competitive Fighter,-0.6772360737372825,-0.6772360737372825,sku_hierarchical,4504.445868145161,2846.488221774194,1.7965725806451611,445.55,1964328.58,0.1,4054.001281330645,4954.890454959677
BFGoodrich_Industrial_Portuario/Especial_0028,Industrial | Portuario/Especial,Industrial_|_Portuario/Especial_Community_02,KVI,-0.6611909235319607,-0.6611909235319607,sku_hierarchical,5281.798731914894,2433.4434531914894,0.3756595744680851,88.28,455868.04,0.05,5017.708795319149,5545.888668510639
BFGoodrich_Industrial_Portuario/Especial_0031,Industrial | Portuario/Especial,Industrial_|_Portuario/Especial_Community_02,Traffic Driver,-0.6462837114984156,-0.6462837114984156,sku_hierarchical,5241.183916949153,2751.5029779661018,1.3525,319.19,1635703.57,0.08,4821.889203593221,5660.478630305086
BFGoodrich_SUV / 4x4_All Terrain (A/T)_0011,SUV / 4x4 | All Terrain (A/T),SUV_/_4x4_|_All_Terrain_(A/T)_Community_01,Premium Leader,-1.3540592770114417,-1.3235916501632474,blended_GAM_adjusted,334.496276446281,95.86519958677688,174.6205785123967,42258.18,13334031.54,0.15,284.32183497933886,384.67071791322314
BFGoodrich_SUV / 4x4_All Terrain (A/T)_0033,SUV / 4x4 | All Terrain (A/T),SUV_/_4x4_|_All_Terrain_(A/T)_Community_03,Competitive Fighter,-1.2557725446991357,-1.2311178150499051,blended_GAM_adjusted,336.86552196078435,91.56674823529411,138.0121568627451,35193.1,11162848.32,0.1,303.1789697647059,370.55207415686283
BFGoodrich_SUV / 4x4_All Terrain (A/T)_0061,SUV / 4x4 | All Terrain (A/T),SUV_/_4x4_|_All_Terrain_(A/T)_Community_03,Traffic Driver,-1.1771102591698888,-1.1508822838100732,blended_GAM_adjusted,360.0009424778761,108.03250884955752,121.46269911504424,27450.57,9501518.79,0.08,331.200867079646,388.8010178761062
BFGoodrich_SUV / 4x4_All Terrain (A/T)_0071,SUV / 4x4 | All Terrain (A/T),SUV_/_4x4_|_All_Terrain_(A/T)_Community_02,Competitive Fighter,-1.2586144830223698,-1.2189722699123946,blended_GAM_adjusted,388.02031311475406,104.5636987704918,159.75016393442624,38979.04,14474083.69,0.1,349.21828180327867,426.8223444262295
BFGoodrich_SUV / 4x4_Mud Terrain (M/T)_0028,SUV / 4x4 | Mud Terrain (M/T),SUV_/_4x4_|_Mud_Terrain_(M/T)_Community_01,Competitive Fighter,-0.969030585059654,-0.9416286670230948,blended_GAM_adjusted,431.91654579831936,131.5916718487395,266.80470588235295,63499.52,26273214.99,0.1,388.7248912184874,475.1082003781513
BFGoodrich_SUV / 4x4_Mud Terrain (M/T)_0030,SUV / 4x4 | Mud Terrain (M/T),SUV_/_4x4_|_Mud_Terrain_(M/T)_Community_01,Premium Leader,-1.0520752796191244,-1.026334255473755,blended_GAM_adjusted,419.2891109243697,127.13038949579833,115.96991596638657,27600.84,11103231.47,0.15,356.3957442857142,482.18247756302515
BFGoodrich_SUV / 4x4_Mud Terrain (M/T)_0053,SUV / 4x4 | Mud Terrain (M/T),SUV_/_4x4_|_Mud_Terrain_(M/T)_Community_01,Premium Leader,-1.0053356413456285,-0.9786598244347888,blended_GAM_adjusted,474.3223995918367,130.88130816326532,149.30122448979594,36578.8,16574731.33,0.15,403.1740396530612,545.4707595306122
BFGoodrich_SUV / 4x4_Mud Terrain (M/T)_0054,SUV / 4x4 | Mud Terrain (M/T),SUV_/_4x4_|_Mud_Terrain_(M/T)_Community_02,Premium Leader,-0.9910218297075633,-0.9910218297075633,sku_hierarchical,479.6986842975207,105.94440330578512,73.12640495867768,17696.59,8253384.07,0.15,407.7438816528926,551.6534869421488
Bridgestone_Agrícola_Implementos_0076,Agrícola | Implementos,Agrícola_|_Implementos_Community_02,Premium Leader,-1.2238788223371295,-1.2116789611702177,blended_GAM_adjusted,668.9421771084337,210.3967493975904,198.7101204819277,49478.82,31783928.28,0.15,568.6008505421687,769.2835036746987
Bridgestone_Agrícola_Premium Radial_0003,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_02,Competitive Fighter,-0.7530069733599721,-0.7530069733599721,sku_hierarchical,1743.4990624489794,627.9971110204082,39.50375510204081,9678.42,16424891.99,0.1,1569.1491562040815,1917.8489686938776
Bridgestone_Agrícola_Premium Radial_0018,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_01,Competitive Fighter,-0.7307076906063937,-0.7307076906063937,sku_hierarchical,2011.9042668067227,630.5155617647059,42.27529411764706,10061.52,19711825.55,0.1,1810.7138401260504,2213.094693487395
Bridgestone_Agrícola_Premium Radial_0026,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_03,KVI,-0.722083814554858,-0.722083814554858,sku_hierarchical,1819.0546736842105,604.1187307017544,40.870877192982455,9318.56,16541947.43,0.05,1728.1019399999998,1910.0074073684211
Bridgestone_Agrícola_Premium Radial_0051,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_02,Competitive Fighter,-0.7214109533220354,-0.7214109533220354,sku_hierarchical,1714.0123512195123,618.6226849593495,23.43130081300813,5764.1,9587202.91,0.1,1542.611116097561,1885.4135863414638
Bridgestone_Agrícola_Premium Radial_0075,Agrícola | Premium Radial,Agrícola_|_Premium_Radial_Community_02,Premium Leader,-0.7738984202369081,-0.7738984202369081,sku_hierarchical,1560.375425925926,624.8127320987654,63.211028806584366,15360.28,23139294.54,0.15,1326.319112037037,1794.4317398148148
Bridgestone_Agrícola_Tractor_0004,Agrícola | Tractor,Agrícola_|_Tractor_Community_01,Premium Leader,-0.9696645721354108,-0.9696645721354108,sku_hierarchical,1034.2762683982685,375.9372601731602,111.0647619047619,25655.96,25575950.3,0.15,879.1348281385282,1189.4177086580087
Bridgestone_Agrícola_Tractor_0010,Agrícola | Tractor,Agrícola_|_Tractor_Community_02,Premium Leader,-0.964034285459654,-1.0257359737662453,blended_GAM_adjusted,1138.9432277310923,299.65146848739494,100.7473949579832,23977.88,26491690.91,0.15,968.1017435714284,1309.784711890756
Bridgestone_Agrícola_Tractor_0027,Agrícola | Tractor,Agrícola_|_Tractor_Community_02,Traffic Driver,-0.8892735116237926,-0.9494799844536668,blended_GAM_adjusted,1164.3554040983609,320.2243913934426,78.80040983606557,19227.3,21691512.39,0.08,1071.206971770492,1257.5038364262298
Bridgestone_Agrícola_Tractor_0056,Agrícola | Tractor,Agrícola_|_Tractor_Community_02,Traffic Driver,-0.8494974374078362,-0.9089083887533912,blended_GAM_adjusted,1173.9240161702128,366.8538582978724,76.79880851063831,18047.72,20684898.62,0.08,1080.0100948765958,1267.8379374638298
Bridgestone_Camión_Long Haul_0079,Camión | Long Haul,Camión_|_Long_Haul_Community_01,Premium Leader,-1.0140269631221863,-1.0355016192252005,blended_GAM_adjusted,663.0370161702128,208.57044382978725,125.32302127659574,29450.91,18986322.56,0.15,563.581463744681,762.4925685957447
Bridgestone_Camión_Obras / Mixto_0026,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_02,Premium Leader,-0.8599379075880933,-0.8599379075880933,sku_hierarchical,733.7912583333333,231.9930214912281,98.49811403508772,22457.57,15948771.95,0.15,623.7225695833333,843.8599470833333
Bridgestone_Camión_Obras / Mixto_0039,Camión | Obras / Mixto,Camión_|_Obras_/_Mixto_Community_03,Competitive Fighter,-0.823437818028185,-0.823437818028185,sku_hierarchical,753.239518852459,261.64817459016393,131.0211475409836,31969.16,23425231.51,0.1,677.9155669672132,828.563470737705
Bridgestone_Camión_Regional_0004,Camión | Regional,Camión_|_Regional_Community_03,Competitive Fighter,-1.0604093979766869,-1.0111662492737357,blended_GAM_adjusted,619.3763370212765,194.52158680851065,76.16272340425533,17898.24,10696228.54,0.1,557.4387033191489,681.3139707234043
Bridgestone_Camión_Regional_0033,Camión | Regional,Camión_|_Regional_Community_02,Premium Leader,-1.095001895523371,-1.1115694874816324,blended_GAM_adjusted,579.5524984126984,186.258928968254,188.1106746031746,47403.89,26261218.15,0.15,492.6196236507936,666.4853731746031
Bridgestone_Camión_Regional_0060,Camión | Regional,Camión_|_Regional_Community_03,Premium Leader,-1.132056639997297,-1.0842464361347584,blended_GAM_adjusted,589.9417519148935,151.72096340425531,75.59944680851063,17765.87,9982712.91,0.15,501.45048912765947,678.4330147021275
Bridgestone_Coche_Budget_0011,Coche | Budget,Coche_|_Budget_Community_03,KVI,-2.4640494305287004,-2.5573992429170387,blended_GAM_adjusted,97.914031300813,24.687717886178863,136.85983739837397,33667.52,3040321.07,0.05,93.01832973577234,102.80973286585365
Bridgestone_Coche_Budget_0036,Coche | Budget,Coche_|_Budget_Community_03,Traffic Driver,-2.401466218785178,-2.493564366938646,blended_GAM_adjusted,99.97562371541504,32.86619051383399,232.4514229249012,58810.21,5487757.39,0.08,91.97757381818184,107.97367361264826
Bridgestone_Coche_Budget_0063,Coche | Budget,Coche_|_Budget_Community_03,Traffic Driver,-2.4320687131110974,-2.5247789111510834,blended_GAM_adjusted,102.55344032258064,30.399016532258067,243.08125,60284.15,5825591.2,0.08,94.3491650967742,110.7577155483871
Bridgestone_Coche_Performance_0002,Coche | Performance,Coche_|_Performance_Community_02,Premium Leader,-1.1610646860911034,-1.170378601692864,blended_GAM_adjusted,371.6211418032787,114.33989426229508,243.1025819672131,59317.03,20992223.48,0.15,315.8779705327869,427.36431307377046
Bridgestone_Coche_Performance_0010,Coche | Performance,Coche_|_Performance_Community_02,Competitive Fighter,-1.050166673586854,-1.0572626289385298,blended_GAM_adjusted,397.3360246808511,111.33919659574468,57.4468085106383,13500.0,5140747.31,0.1,357.602422212766,437.06962714893626
Bridgestone_Coche_Performance_0023,Coche | Performance,Coche_|_Performance_Community_02,Competitive Fighter,-1.05307746287527,-1.060231634012714,blended_GAM_adjusted,302.2626174107143,106.10510089285717,295.3984821428571,66169.26,19045372.34,0.1,272.0363556696429,332.4888791517858
Bridgestone_Coche_Performance_0068,Coche | Performance,Coche_|_Performance_Community_02,Premium Leader,-1.104346790285649,-1.1125263479713008,blended_GAM_adjusted,369.2826886075949,106.19737299578058,95.68143459915612,22676.5,8033884.33,0.15,313.8902853164556,424.6750918987341
Bridgestone_Coche_Touring_0002,Coche | Touring,Coche_|_Touring_Community_01,Premium Leader,-1.818522418653612,-1.882312881745515,blended_GAM_adjusted,167.0614243697479,41.97006260504202,339.67256302521014,80842.07,12557263.14,0.15,142.0022107142857,192.12063802521007
Bridgestone_Coche_Touring_0007,Coche | Touring,Coche_|_Touring_Community_01,Traffic Driver,-1.7263737457657042,-1.7883212353998492,blended_GAM_adjusted,164.33656875,53.05127708333334,189.15225,45396.54,7105095.0,0.08,151.18964325000002,177.48349425
Bridgestone_Coche_Touring_0045,Coche | Touring,Coche_|_Touring_Community_02,Competitive Fighter,-1.7774582702497763,-1.8097371460861265,blended_GAM_adjusted,164.80310083333333,46.470018333333336,384.518125,92284.35,14089767.04,0.1,148.32279075,181.28341091666667
Bridgestone_Coche_Touring_0048,Coche | Touring,Coche_|_Touring_Community_02,Competitive Fighter,-1.767342898101818,-1.7994194664952083,blended_GAM_adjusted,155.6282898305085,46.914482627118645,274.9753813559322,64894.19,9432228.66,0.1,140.06546084745764,171.19111881355934
Bridgestone_Coche_Touring_0059,Coche | Touring,Coche_|_Touring_Community_01,Premium Leader,-1.8086118349901887,-1.8722040864088236,blended_GAM_adjusted,140.34848099173553,51.03872933884297,331.57438016528926,80241.0,10699540.73,0.15,119.29620884297519,161.40075314049585
Bridgestone_Coche_Touring_0075,Coche | Touring,Coche_|_Touring_Community_02,Premium Leader,-1.824410302992859,-1.85762821948407,blended_GAM_adjusted,152.82731923076923,52.21362564102565,291.2642307692308,68155.83,9447524.71,0.15,129.90322134615386,175.7514171153846
Bridgestone_Furgoneta_Reforzado_0005,Furgoneta | Reforzado,Furgoneta_|_Reforzado_Community_01,KVI,-1.0499975719178316,-1.0703391261837203,blended_GAM_adjusted,230.15149087136928,81.50968215767635,270.3587966804979,65156.47,14546656.35,0.05,218.6439163278008,241.65906541493774
Bridgestone_Furgoneta_Reforzado_0073,Furgoneta | Reforzado,Furgoneta_|_Reforzado_Community_01,Premium Leader,-1.1521165746741788,-1.1745005089951943,blended_GAM_adjusted,264.1202676470588,65.1261,217.35529411764705,51730.56,13113017.16,0.15,224.5022275,303.73830779411765
Bridgestone_Furgoneta_Standard_0009,Furgoneta | Standard,Furgoneta_|_Standard_Community_01,Premium Leader,-1.4267288694914126,-1.428219936905918,blended_GAM_adjusted,195.9591738589212,50.58371493775934,197.00908713692948,47479.19,8732189.21,0.15,166.565297780083,225.35304993775935
Bridgestone_Furgoneta_Standard_0012,Furgoneta | Standard,Furgoneta_|_Standard_Community_01,Traffic Driver,-1.303130421199208,-1.302149519647869,blended_GAM_adjusted,172.82092016460905,58.92634362139918,158.07020576131686,38411.06,6348883.06,0.08,158.99524655144035,186.64659377777778
